Row,Tier,Plot,Line,Selected,Selection notes,Group,Tray,Notes on germination (# of plants missing),Original Female,Original Male,Generation,Leaf color,Stem 1 length (cm),Stem 2 length (cm),Stem 3 length (cm),Leaf shape,Leaf Color,"disease 1.21.26 0=none, 5=worst",Stand count,Ready for 1st taste test?,Ready for 2nd taste test?,Notes,"stem thickness (1-5, 5 largest)",Harvest date,Bolting date (50% or more of plot has visible buds),Flowering date (50% or more of plot has open flowers),Squirrel damage (0-5) 5 worst,Hollow heart (y/n),Vertical splitting (y/n)
1,1,101,22-08.2.4.1.3,,No selection. Good thick stems but not very tall good disease resistance,Replicated F5,1,,Red Celtuce,Green Celtuce,,,15.5,13.2,10.8,Wide,Green,2,6,yes,,Some aphids,,,,,,,
1,2,102,22-08.2.3.1.2,,Short plant and not well developed stems,Replicated F5,1,,Red Celtuce,Green Celtuce,,,,,,Lanceolate,Light Green,2,6,,yes,,,,,,,,
1,3,103,23-040.3.1,,Short plant and not well developed stems,Replicated F3,1,,Celtuce G,Da Ye Wo Sun,,,,,,Wide,Bronze,1,5,,yes,,,,,,,,
1,4,104,22-08.2.4.1.4,1,1 selection. Good thick stem,Replicated F5,1,,Red Celtuce,Green Celtuce,,,23,18.5,,Wide,Green,1,5,yes,,,,,,,,,
1,5,105,22-08.2.2.1.2,2,2 selections. Good thick stem and tall plant. Population looks pretty uniform. 2nd selection as backup,Replicated F5,1,,Red Celtuce,Green Celtuce,,,28.5,20.4,,Wide,Green,1,6,yes,,,,,,,,,
1,6,106,22-069.1.3,,Short plants ,Replicated F3,1,,Green Celtuce,Cerise Oak Leaf,,,,,,Segregating,Dark Red,1,6,,yes,"1  standard, 5 oak leaf",,,,,,,
1,7,107,22-25.1.2.2.2,,,Replicated F5,1,,Green Celtuce,Da Ye Wo Sun,,,,,,Lanceolate,Green,1,6,,yes,,,,,,,,
1,8,108,Red Celtuce,,,Replicated F3,1,6,Red Oak Leaf from EG,Celtuce G,,,36,29.2,,Standard,Red,1,6,yes,,,,,,,,,
1,9,109,22-25.1.1.1.1,,,Replicated F5,1,,Green Celtuce,Da Ye Wo Sun,,,29.3,26.4,28.3,Lanceolate,Light Green,1,6,,yes,,,,,,,,
1,10,110,22-08.2.2.1.1,,Diseased,Replicated F5,1,,Red Celtuce,Green Celtuce,,,23.9,33.7,,Wide,Bronze,1,6,yes,,,,,,,,,
1,11,111,23-045.1.1,,Poor stem development,Replicated F3,1,,Hyper Red Rumpled Wave,Celtuce G,,,,,,Wide,Red,1,6,,yes,,,,,,,,
1,12,112,22-08.2.4.1.1,1,1 selection: shorter plant but v thick stem,Replicated F5,1,,Red Celtuce,Green Celtuce,,,26.3,21.7,,Wide,Green,1,6,yes,,,,,,,,,
1,13,113,22-08.2.2.3.1,,Diseased,Replicated F5,2,,Red Celtuce,Green Celtuce,,,32.2,36.9,,Wide,Green,2,5,yes,,,,,,,,,
1,14,114,23-040.1.1,,Diseased,Replicated F3,2,,Celtuce G,Da Ye Wo Sun,,,,,,Lanceolate,Green,5,6,,yes,,,,,,,,
1,15,115,22-08.2.6.4.2,,Scarring on stem and bent/curved stems. No selection,Replicated F5,2,,Red Celtuce,Green Celtuce,,,41.5,44,,Standard,Bronze,1,6,yes,,,,,,,,,
1,16,116,23-040.3.2,,Short plants,Replicated F3,2,,Celtuce G,Da Ye Wo Sun,,,,,,Standard,Bronze,1,6,,no,,,,,,,,
1,17,117,23-045.1.2,1,1 selection. Nice pink leave color. Backcross to celtuce bc of no stem development,Replicated F3,2,,Hyper Red Rumpled Wave,Celtuce G,,,,,,Wide,"5 Pink, 1 Green",1,6,no,no,"looks tasty, but more like lettuce.",,,,,,,
